Key,English,Dutch
Results.IntuitiveBalanceEmpathicCurious,"Do you recognize this? That sometimes you EMPATHIZE too much and forget yourself? Or that you're so CURIOUS that it becomes chaotic? You don't have to judge yourself anymore, because from now on you can start balancing! If you're EMPATHIZING too much, then use your more creative CURIOUS strength and find balance. If you're too CURIOUS, start EMPATHIZING and deeper connections will come naturally! You don't have to hold back! Pitfalls are a thing of the past from now on. :-)",Herken je dat? Dat je soms teveel MEEVOELT en je jezelf vergeet? Of dat je zo NIEUWSGIERIG bent dat het chaotisch wordt? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het MEEVOELEN? Zet dan je creatievere NIEUWSGIERIGE kracht meer in en kom in balans. Ben je te NIEUWSGIERIG? Start lekker met MEEVOELEN en focus en diepere verbinding komen als vanzelf! Je hoeft je niet in te houden! Valkuilen zijn vanaf nu verleden tijd. :-)
Results.IntuitiveBalanceEmpathicPlayful,"Do you recognize this? That sometimes you EMPATHIZE too much and forget yourself? Or that you're so PLAYFUL that it becomes chaotic? You don't have to judge yourself anymore, because from now on you can start balancing! If you're EMPATHIZING too much, then use your more creative PLAYFUL strength and find balance. If you're too PLAYFUL, start EMPATHIZING and deeper connections will come naturally! You don't have to hold back! Pitfalls are a thing of the past from now on. :-)",Herken je dat? Dat je soms teveel MEEVOELT en je jezelf vergeet? Of dat je zo SPEELS bent dat het 'n chaos wordt? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het MEEVOELEN? Zet dan je positieve SPEELSE kracht meer in en kom in balans. Ben je te SPEELS? Start lekker met MEEVOELEN en de diepere verbinding komt als vanzelf! Je hoeft je niet meer in te houden! :-)
Results.IntuitiveMatchHelpfulCurious,"WHAT PEOPLE MATCH YOU? People that like to interact with passion and interest, who enjoy being brought out of the routine in a friendly and gentle way. People that like good service (help) with a unique sparkle and surprise. Just that little bit different, just that little bit extra, based on trust and connection.
WHAT PLACES SUIT YOU? Pleasant social places. From a cozy pub to a friendly kitchen table. This way, you can be with nice people to share inspiration in peace. But don't forget to regularly go to new places that you don't know yet or that you want to explore further. You can do this together, but also alone.
WHAT MAKES YOU STAND OUT? You are someone who can make others feel safe and at home, but you can also surprise them with completely new and different things. You are full of warmth and sparkles. A social refreshment, you are always careful not to offend others. At the same time you are someone that loves to take people to places of inspiration and unconventional thoughts.","WELKE MENSEN MATCHEN MET JE? Mensen die het prettig vinden dat je met ze omgaat vanuit passie en interesse, die het leuk vinden om uit de sleur van alledag gehaald te worden op vriendelijke en zachte wijze. Die goede service (hulp) met een unieke sprankel en verrassing aanspreekt. Net dat stapje anders, net dat stapje meer vanuit vertrouwen en verbinding.
WELKE PLEKKEN PASSEN BIJ JE? Fijne sociale plekken, van een fijne kroeg tot de gezellige keukentafel, zodat je met fijne mensen samen kunt zijn om in alle rust inspiratie te kunnen delen. Maar vergeet niet ook regelmatig naar nieuwe plekken te gaan die je nog niet kent of die je nog verder wilt onderzoeken. Dat kan samen, maar ook alleen.
WAT MAAKT JE ONDERSCHEIDEND? Je bent zowel iemand die een ander een heerlijk en veilig thuisgevoel kan geven als dat je ze lekker kan verrassen met totaal nieuwe dingen. Je bent één en al warmte en sprankel. Een sociale verfrissing, waarbij je er rekening mee houdt dat je anderen niet voor het hoofd stoot. Je neemt ze mee naar inspiratie en onalledaagse dingen en denkwijzen."
Results.IntuitiveMatchHelpfulPlayful,"WHAT PEOPLE MATCH YOU? People who enjoy being heard with passion and interest, who like to be taken out of the daily routine in a friendly and playful way. Those who appreciate personal attention with a unique sparkle and surprise. Just that bit different, just that bit extra connection and softness. And let's not forget... People that like humor!
WHAT PLACES SUIT YOU? Nice social places, from a cozy pub to a friendly kitchen table, so that you can be with nice people to share inspiration in peace. But don't forget to regularly go to crazy surprising new places that you don't know yet or where you can meet quirky people. So that you too can do your own thing in your own way! Have fun!
WHAT MAKES YOU STAND OUT? You are someone who can get very close to another person in a very short amount of time. You are someone that really UNDERSTANDS what the other person feels and can give unique and beautiful twists that can inspire and move the other person forward. With a few small words or actions, you can make a difference, while happily continuing on your own path.","WELKE MENSEN MATCHEN MET JE? Mensen die het prettig vinden gehoord te worden vanuit passie en interesse, die het leuk vinden om uit de sleur van alledag gehaald te worden op vriendelijke en speelse wijze. Die aandacht met een unieke sprankel en verrassing aanspreekt. Net dat stapje anders, net dat stapje meer vanuit verbinding en zachtheid. En laten we de humor niet vergeten!
WELKE PLEKKEN PASSEN BIJ JE? Fijne sociale plekken, van een fijne kroeg tot de gezellige keukentafel, zodat je met fijne mensen samen kunt zijn om in alle rust inspiratie te kunnen delen. Maar vergeet niet ook regelmatig naar gekke verrassende nieuwe plekken te gaan die je nog niet kent of waar je eigenzinnige mensen tegenkomt. Zodat ook jij lekker je eigen ding kunt doen op jouw manier!
WAT MAAKT JE ONDERSCHEIDEND? Je bent iemand die in een korte tijd heel dicht bij een ander kan komen, echt SNAPT wat de ander voelt en daar unieke en mooie draaiingen aan kan geven die de ander kunnen inspireren en verder brengen. Met een paar kleine woorden of daden kun je een verschil maken, terwijl je weer vrolijk je eigen pad vervolgt."
Results.IntuitiveMatchEmpathicCurious,"WHAT PEOPLE MATCH YOU? People who enjoy being heard with passion and interest, who like to be taken out of the daily routine in a friendly and gentle way. Those who appreciate attention with a unique sparkle and surprise. Just that step different, just that step deeper in connection and softness.
WHAT PLACES SUIT YOU? Nice social places, where you can be with people and where is space for peace and personal attention. Places where you can share warmth, connection and inspiration. But don't forget to regularly go to new places that you don't know yet or that you want to explore further. You can do this together, but also alone. Have fun!
WHAT MAKES YOU STAND OUT? You are someone who can get very close to another person in a short amount of time, you are someone who really UNDERSTANDS what the other person feels and can give unique and beautiful twists that can inspire and move the other person forward. With a few small words or actions, you can make a difference, especially on a personal level, because you can positively touch others even more deeply. You touch people deeply. That is wonderful.","WELKE MENSEN MATCHEN MET JE? Mensen die het prettig vinden gehoord te worden vanuit passie en interesse, die het leuk vinden om uit de sleur van alledag gehaald te worden op vriendelijke en zachte wijze. Die aandacht met een unieke sprankel en verrassing aanspreekt. Net dat stapje anders, net dat stapje meer vanuit verbinding en zachtheid.
WELKE PLEKKEN PASSEN BIJ JE? Fijne sociale plekken, waar je in alle rust en aandacht met mensen bezig kunt zijn. Om warmte, verbinding en inspiratie te kunnen delen. Maar vergeet niet ook regelmatig naar nieuwe plekken te gaan die je nog niet kent of die je nog verder wilt onderzoeken. Dat kan samen, maar ook alleen.
WAT MAAKT JE ONDERSCHEIDEND? Je bent iemand die in een korte tijd heel dicht bij een ander kan komen, echt SNAPT wat de ander voelt en daar unieke en mooie draaiingen aan kan geven die de ander kunnen inspireren en verder brengen. Met een paar kleine woorden of daden kun je een verschil maken, zeker op persoonlijk niveau, omdat je anderen dan nog meer positief kan raken. Jij raakt mensen diep."
Results.IntuitiveMatchEmpathicPlayful,"WHAT PEOPLE MATCH YOU? People who appreciate that you interact with them with passion and interest, who enjoy being taken out of the daily routine in a friendly and gentle way. Those who are attracted to personal attention with a unique sparkle and surprise. Just that step different, just that step more driven by connection and softness.
WHAT PLACES SUIT YOU? Nice original, creative and social places. Where you can engage with people in an inspiring way. To share warmth, connection and inspiration. Don't forget to regularly go to new places that you don't know yet or that you want to explore further. You can do this together, but also by yourself.
WHAT MAKES YOU STAND OUT? You are someone who can provide others a wonderful and safe feeling of home. While also being able to surprise them with completely new things. You are all warmth and sparkle. A social refreshment, where you take into account not offending others. You like to bring others to inspiration and unconventional ideas and ways of thinking. Inspire them!","WELKE MENSEN MATCHEN MET JE? Mensen die het prettig vinden dat je met ze omgaat vanuit passie en interesse, die het leuk vinden om uit de sleur van alledag gehaald te worden op vriendelijke en zachte wijze. Die aandacht met een unieke sprankel en verrassing aanspreekt. Net dat stapje anders, net dat stapje meer vanuit verbinding en zachtheid.
WELKE PLEKKEN PASSEN BIJ JE? Fijne originele, creatieve sociale plekken, waar je op inspirerende manier met mensen bezig kunt zijn. Om warmte, verbinding en inspiratie te kunnen delen. Vergeet niet ook regelmatig naar nieuwe plekken te gaan die je nog niet kent of die je nog verder wilt onderzoeken. Dat kan samen, maar ook alleen.
WAT MAAKT JE ONDERSCHEIDEND? Je bent zowel iemand die een ander een heerlijk en veilig thuisgevoel kan geven als dat je ze lekker kan verrassen met totaal nieuwe dingen. Je bent één en al warmte en sprankel. Een sociale verfrissing, waarbij je er rekening mee houdt dat je anderen niet voor het hoofd stoot. Je neemt ze mee naar inspiratie en onalledaagse dingen en denkwijzen."
Results.SocialChangerTitle,Social Changer,
Results.SocialChangerDescDetailed,"Being a social changemaker, you probably get more energy from: people who are willing to change and take action, who are both sensitive and empathetic as well as decisive and forward-thinking. Doing things based on your intuition is very important to you. Additionally, openness and curiosity are also a good fit for you. You enjoy taking the time that is needed. You like to look ahead and connect with others. You are social and respectful. You can inspire others well.","Als sociale veranderaar krijg je waarschijnlijk meer energie van: mensen die verandering willen en in beweging komen, zowel zachter en sensitiever zijn als daadkrachtig en voorwaarts. Dingen op gevoel doen is heel belangrijk voor je. Verder past openheid en nieuwsgierigheid goed bij je. Je vindt het fijn om de tijd te nemen die nodig is. Je kijkt graag vooruit en verbindt graag met anderen. Je bent sociaal en respectvol en kunt anderen goed inspireren. "
Results.SocialChangerHelpfulProgressive,You are involved with others and you are good at inspiring them and getting them into motion. Moving people forward and even giving them direction! That is beautiful and heartwarming. :-),Jij bent betrokken met anderen en je kunt ze op die manier goed inspireren en in beweging krijgen. Ze vooruit brengen en zelfs richting geven! Dat is natuurlijk hartstikke mooi. :-)
Results.SocialChangerHelpfulPersevere,"You are engaged with others and you can help them and get them into motion. You are not easily stopped, and that's a good thing. That's how you really get things done!",Jij bent betrokken met anderen en je kunt ze zo helpen en in beweging krijgen. Je bent niet snel te stoppen en dat is maar goed ook. Zo krijg je dingen echt gedaan!
Results.SocialChangerEmpathicProgressive,"You sense what others need and can use that to help and motivate them. You love growth, which is great because it can help other people grow too!","Jij voelt aan wat anderen nodig hebben en je kunt zo anderen helpen en in beweging zetten. Je houdt van groei, dat is mooi want zo kun je andere mensen ook laten groeien! "
Results.SocialChangerEmpathicPersevere,"You sense what others need and can use that to motivate them. You also don't give up easily, and that's wonderful! It can really take you further and others too!","Jij voelt aan wat anderen nodig hebben en je kunt zo anderen motiveren. Ook geef je niet snel op en dat is prachtig! Dat kan je echt verder brengen, anderen ook!"
Results.SocialChangerBalanceHelpfulProgressive,Do you recognize this? That sometimes you HELP too much and forget about yourself? Or that you're so FORWARD-THINKING that you're too quick? Leaving everyone behind? You don't have to limit yourself anymore because from now on you can start balancing! Are you focussing on HELPING too much? Then use your positive FORWARD-THINKING strength more (focus on it) and find balance. Are you too much focussed on FORWARD-THINKING? Start helping others (or yourself) and discover how you naturally connect with everyone again! You don't have to hold back! Pitfalls are something from the past from now on! :-),Herken je dat? Dat je soms teveel HELPT en je jezelf vergeet? Of dat je zo VOORUITSTREVEND bent dat je iedereen voorbij loopt? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het HELPEN? Zet dan je positieve VOORUITSTREVENDE kracht meer in en kom in balans. Ben je te VOORUITSTREVEND? Start lekker met HELPEN en ontdek hoe je als vanzelf weer met iedereen verbindt! Je hoeft je niet in te houden! Valkuilen zijn vanaf nu verleden tijd! :-)
Results.SocialChangerBalanceHelpfulPersevere,"Do you recognize this? That sometimes you help too much and forget about yourself? Or that you persist so much that you leave everyone behind? You no longer have to limit yourself because from now on you can start balancing! Are you HELPING too much? Then use your positive PERSISTENT strength more, focus forward, and find balance. Are you too PERSISTENT? Start helping and discover how you naturally reconnect with everyone! You don't have to hold back anymore! Pitfalls are a thing of the past from now on! :-)","Herken je dat? Dat je soms teveel HELPT en je jezelf vergeet? Of dat je zo DOORZET dat je iedereen voorbij loopt? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het HELPEN? Zet dan je positieve DOORZETTENDE kracht meer in, focus voorwaarts en kom in balans. Ben je te DOORZETTEND? Start lekker met HELPEN en ontdek hoe je als vanzelf weer met iedereen verbindt! Je hoeft je niet meer in te houden! Valkuilen zijn vanaf nu verleden tijd! :-)"
Results.SocialChangerBalanceEmpathicProgressive,"Do you recognize this? That sometimes you EMPATHIZE too much and forget yourself? Or that you are so FORWARD-THINKING that you move too fast? You no longer have to limit yourself when you start balancing! If you are EMPATHIZING too much, use your FORWARD-THINKING strength more, move forward and find balance. If you are too FORWARD-THINKING, start EMPATHIZING and discover how you can connect with everyone again! You don't have to hold back anymore! :-)","Herken je dat? Dat je soms teveel MEEVOELT en je jezelf vergeet? Of dat je zo VOORUITSTREVEND bent dat te snel gaat? Je hoeft jezelf niet te veroordelen als je gaat balanceren! Ben je te veel aan 't MEEVOELEN? Zet dan je VOORUITSTREVENDE kracht meer in, kom in beweging en kom in balans. Ben je te VOORUITSTREVEND? Start met MEEVOELEN en ontdek hoe je weer met iedereen verbindt! Je hoeft je niet meer in te houden! :-)"
Results.SocialChangerBalanceEmpathicPersevere,"Do you recognize this? That sometimes you feel too much EMPATHY and forget about yourself? Or that you are so PERSISTENT that you surpass everyone? You no longer have to limit yourself because from now on you can balance yourself! Are you helping too much? Then use your positive PERSISTENT strength more, move forward and find balance. Are you too PERSISTENT? Start empathizing and discover how you connect with everyone again, effortlessly! You don't have to hold back anymore! Pitfalls are a thing of the past from now on! :-)","Herken je dat? Dat je soms teveel MEEVOELT en je jezelf vergeet? Of dat je zo DOORZETTEND bent dat je iedereen voorbij loopt? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het MEEVOELEN? Zet dan je positieve DOORZETTENDE kracht meer in, ga voorwaarts en kom in balans. Ben je te DOORZETTEND? Start met MEEVOELEN en ontdek hoe je weer met iedereen verbindt! Je hoeft je niet in te houden! Valkuilen zijn vanaf nu verleden tijd!"
Results.SocialChangerMatchHelpfulProgressive,"WHAT PEOPLE MATCH YOU? People who consider the social aspect of work. People who think entrepreneurship is important and who also want to be strong in the future. People who want everyone to be on the same page and search an inspirator who can lead them towards forward movement and growth.
WHAT PLACES SUIT YOU? Places where people are social and where they really accomplish things together. If there is no activity or movement, then it is better to go somewhere else. Places where people help each other and where you can help people move forward. This gives you a lot of satisfaction. This can be anything, your work, the sports club, or how about working for a good cause?
WHAT MAKES YOU STAND OUT? You are a social leader who can really touch peoples hearts and set them in motion, inspire them to bring out the best in themselves. You can bring their social needs to growth. You can make people feel like they are really being helped, now and in the future.","WELKE MENSEN MATCHEN MET JE? Mensen die het sociale aspect van werken en ondernemen heel belangrijk vinden en die het belangrijk vinden om ook in de toekomst sterk te staan. Die de neuzen dezelfde kant op willen en een inspirator willen die eenieder aan de hand kan meenemen naar een voorwaartse beweging en groei.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn, en waar ook echt iets voor elkaar gebokst wordt. Als er geen activiteit en beweging is, dan kun je maar beter ergens anders heengaan. Plekken waar mensen elkaar helpen en jij mensen vooruit kunt helpen. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND? Je bent een sociale koploper die mensen echt kan raken en in beweging kan zetten, ze kan inspireren om het beste uit zichzelf te halen. Hun sociale behoeftes tot groei kan laten brengen. Mensen het gevoel kan geven dat ze echt geholpen worden, voor nu en in de toekomst."
Results.SocialChangerMatchHelpfulPersevere,"WHAT PEOPLE MATCH YOU? People who are looking for a true social go-getter who delivers real results and perseveres. Someone who inspires others to move even more forward. A remarkable team player who does everything possible to achieve the desired results while making everyone feel good, even in the process itself.
WHAT PLACES SUIT YOU? Places where people are social and where something is really accomplished. It must have real purpose and achieve an effect. Places where people help each other and where you can help people move forward. That gives you a lot of satisfaction. This can be anything, your work, the sports club or how about working for a good cause?
WHAT MAKES YOU STAND OUT? You are a positive achiever with whom it is wonderful to work, you are open to others without being easily distracted from your own path. You listen well and can make sure everyone feels involved and excited. To build things together, or helping to build, is an incredible strength of yours. You set things in motion and you can get things done! Together.","WELKE MENSEN MATCHEN MET JE? Mensen die een echte sociale bikkelaar zoeken die echt resultaat levert en doorgaat. Die andere mensen ook inspireert om nog meer in beweging te komen. Die een ongelofelijk sterke teamplayer is en die alles in staat stelt om de beoogde resultaten te behalen waarbij iedereen zich goed voelt, ook in het proces zelf.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn, en waar ook echt iets voor elkaar gebokst wordt. Het moet echt zin hebben en effect bereiken. Plekken waar mensen elkaar helpen en jij mensen vooruit kunt helpen. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND?
Je bent een positieve metermaker met wie het heerlijk is om te werken, je staat open voor anderen zonder dat je al te snel van je pad af te brengen bent. Je luistert goed en kan zorgen dat iedereen er zin in heeft. Samen bouwen, of meebouwen is een ongelofelijke kracht van je. Je zet de boel in beweging en regelt het! Samen."
Results.SocialChangerMatchEmpathicProgressive,"WHICH PEOPLE DO YOU MATCH WITH?
People who have a need for a more personal approach and service, and who also have a desire to see how this can be scaled up and grown. People who have a need to be inspired and taken on a journey towards visions about applications, possibilities, and potential behavioral changes in a pioneering way.

WHICH PLACES SUIT YOU?
Places where people are social and where things are actually being accomplished together. If there is no activity or movement, then you might as well go somewhere else. It is also important that there is room for connection and warmth. Places where people help each other and where you can help people move forward. That gives you a lot of satisfaction. It can be anything, your job, your sports club, or how about working for a good cause?

WHAT MAKES YOU DISTINCTIVE?
You are a social change agent who can really think from the perspective of individuals. You can truly inspire people and motivate them to bring out the best in themselves. You are a social impact maker with a heart. You work with passion, and that is contagious. You create growth through personal attention.","WELKE MENSEN MATCHEN MET JE? Mensen die behoefte hebben aan een meer persoonlijke aanpak en service en die tevens de behoefte hebben om vanaf daar te kijken hoe je dit grootser kunt maken, kunt
laten groeien. Die behoefte hebben om geraakt en meegenomen te worden naar visies over toepassingen, mogelijkheden en eventuele gedragsveranderingen op Pioniers achtige wijze.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn, en waar ook echt iets voor elkaar gebokst wordt. Als er geen activiteit en beweging is, dan kun je maar beter ergens anders heengaan. Ook is het belangrijk dat er ruimte is voor verbinding en warmte. Plekken waar mensen elkaar helpen en jij mensen vooruit kunt helpen. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND?
Je bent een sociale veranderaar die echt vanuit mensen/individuen kan denken. Je kunt mensen echt raken en in beweging zetten om het beste uit zichzelf te halen. Je bent een sociale impactmaker met een hart. Je werkt met bezieling, dat werkt aanstekelijk. Je creëert groei door persoonlijke aandacht."
Results.SocialChangerMatchEmpathicPersevere,//TO BE FILLED,"WELKE MENSEN MATCHEN MET JE? Mensen die graag gehoord worden en 't heerlijk vinden om persoonlijke aandacht te krijgen. Die anderen goed aanvoelen en inspireren om nog meer in beweging te komen. Voor mensen die het fijn vinden om samen door te gaan en resultaten te behalen waarbij iedereen zich goed voelt, ook in het proces zelf.
WELKE PLEKKEN PASSEN BIJ JE? Plekken waar mensen sociaal zijn en waar ruimte is voor verbinding en warmte. Plekken waar mensen elkaar helpen en jij mensen vooruit kunt helpen. Het moet echt zin hebben en effect bereiken. Dat geeft je veel voldoening. Dat kan van alles zijn, je werk, de sportvereniging of wat dacht je van werken voor een goed doel?
WAT MAAKT JE ONDERSCHEIDEND?
Je bent een positieve metermaker met wie het heerlijk is om te werken, je staat open voor anderen zonder dat je al te snel van je pad af te brengen bent. Je hebt de unieke combinatie die snel een diepere verbinding kan leggen met mensen en die ook snel kan vinden waarmee je de mensen echt verder helpt. Samen bouwen, of meebouwen is een ongelofelijke kracht van je. Je zet de boel in beweging en regelt het! Samen."
Results.SocialDoerTitle,Social Doer,
Results.SocialDoerDescDetailed,//TO BE FILLED,"Als je een sociale doener bent, krijg je waarschijnlijk meer energie van: sociaal en betrokken zijn met anderen is belangrijk voor je. Maar ook actief aanpakken en helpen geeft je energie. Je voelt mensen goed aan of bent open en geïnteresseerd in andere mensen. Daarnaast doe je dingen graag met aandacht en rust, vind je het fijn om dingen goed en overdacht te doen. Je bent heel sociaal en respectvol en niet graag haantje de voorste. Je stelt je graag verantwoordelijk en dienstbaar op en gaat voor kwaliteit. Als sociale doener ben je meestal wat introverter, wat rustiger, zeker als je je fijn en goed voelt. Ook heb je een kalme, warme uitstraling en levenshouding, dat is reuze mooi! 
"
Results.SocialDoerHelpfulSense,"You're involved with others and you like to work actively on useful things. You are really grounded, with both feet on the ground. That is wonderful!","Jij bent betrokken met anderen, werkt actief aan nuttige dingen en bent heerlijk nuchter, met beide voeten op de grond."
Results.SocialDoerHelpfulRight,Wonderful! You are truly involved with other people and actively work on solid solutions that others can benefit from in the long run. That is valuable and sustainable.,Prachtig! Jij bent betrokken met anderen en werkt actief aan solide oplossingen waar anderen blijvend iets aan hebben. Dat is waardevol en duurzaam.
Results.SocialDoerEmpathicSense,"That is so nice! You can really sense what others need, and you're also wonderfully grounded. With both feet on the ground, you can really help others well and deliver real value. That's very beautiful!","Hoe mooi is dat! Jij voelt de essentie aan van wat anderen nodig hebben en je bent ook nog eens heerlijk nuchter, met beide voeten op de grond kun je anderen echt goed helpen. Echt waarde leveren."
Results.SocialDoerEmpathicRight,Very beautiful! You can really sense what others need and at the same time provide a solid foundation for them. Others can really rely on you. You are strong!,Heel mooi! Jij voelt de essentie aan van wat anderen nodig hebben en bent tegelijkertijd een stevig grondig fundament voor ze. Anderen kunnen echt op je bouwen. Wat ben je sterk!
Results.SocialDoerBalanceHelpfulSense,//TO BE FILLED,"Herken je dat? Dat je soms teveel HELPT, je jezelf vergeet? Of dat je zo NUTTIG bezig bent dat je anderen vergeet? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het HELPEN? Zet dan je NUTTIGE kracht meer in en krijg dingen gedaan. Ben je te NUTTIG bezig? Start met HELPEN en ontdek hoe je met iedereen verbindt! Je hoeft je niet in te houden! Valkuilen zijn nu verleden tijd."
Results.SocialDoerBalanceHelpfulRight,//TO BE FILLED,"Herken je dat? Dat je soms teveel HELPT, je jezelf vergeet? Of dat je zo GRONDIG bezig bent dat je anderen vergeet? Je hoeft jezelf niet meer te veroordelen omdat je vanaf nu mag gaan balanceren! Ben je te veel aan het HELPEN? Zet dan je GRONDIGE kracht meer in en krijg dingen echt gedaan. Ben je te GRONDIG bezig? Start met HELPEN en ontdek hoe snel je weer met iedereen verbindt! Je hoeft jezelf niet meer in te houden want valkuilen zijn vanaf nu verleden tijd. Start met balanceren!"
